"","Rk","Name","Team","Age","Pos","GP","G","A","P","PIM","+/-","TOI","ES","PP","SH","ESG","PPG","SHG","GWG","OTG","ESA","PPA","SHA","GWA","OTA","ESP","PPP","SHP","GWP","OTP","PPP%","G/60","A/60","P/60","ESG/60","ESA/60","ESP/60","PPG/60","PPA/60","PPP/60","G/GP","A/GP","P/GP","SHOTS","SH%","HITS","BS","FOW","FOL","FO%"
"39","39","Chris Kreider","NYR",30,"F","81",52,25,77,24,19,"18:43","14:16","2:57","1:29","23","26","3",11,"0","16","9","0","4","0",39,"35",3,"15","0","45.5%",2.057,0.989,3.045,"1.194","0.83","2.024","6.494","2.248","8.742",0.642,0.309,"0.951",258,"20.2%",141,"39",68,69,"49.64%"
"40","40","David Pastrnak","BOS",25,"F","72",40,37,77,20,13,"18:36","15:01","3:32","0:01","25","15","0",9,"1","26","11","0","6","2",51,"26",0,"15","3","33.8%",1.792,1.657,3.449,"1.386","1.441","2.827","3.526","2.586","6.112",0.556,0.514,"1.069",312,"12.8%",63,"14",7,14,"33.33%"
"41","41","Robert Thomas","STL",22,"F","72",20,57,77,16,17,"18:46","15:08","2:02","1:35","15","3","2",6,"1","45","11","1","9","1",60,"14",3,"15","2","18.2%",0.888,2.53,3.417,"0.826","2.478","3.304","1.223","4.484","5.707",0.278,0.792,"1.069",115,"17.4%",13,"25",562,565,"49.87%"
"42","42","Timo Meier","SJS",25,"F","77",35,41,76,54,-3,"19:09","16:27","2:38","0:02","23","12","0",8,"1","35","6","0","6","1",58,"18",0,"14","2","23.7%",1.423,1.667,3.091,"1.088","1.656","2.745","3.531","1.766","5.297",0.455,0.532,"0.987",326,"10.7%",162,"61",18,19,"48.65%"
"43","43","Pavel Buchnevich","STL",26,"F","73",30,46,76,34,29,"18:18","14:27","2:14","1:35","20","8","2",3,"1","33","11","2","10","1",53,"19",4,"13","2","25.0%",1.347,2.066,3.413,"1.137","1.876","3.013","2.925","4.022","6.948",0.411,0.63,"1.041",199,"15.1%",57,"15",13,26,"33.33%"
"44","44","John Tavares","TOR",31,"F","79",27,49,76,32,-8,"18:04","15:03","2:59","0:01","17","10","0",3,"0","33","16","0","11","2",50,"26",0,"14","2","34.2%",1.135,2.06,3.194,"0.858","1.665","2.522","2.534","4.055","6.59",0.342,0.62,"0.962",237,"11.4%",90,"44",813,529,"60.58%"
"45","45","Jordan Kyrou","STL",23,"F","74",27,48,75,20,10,"16:34","14:37","1:54","0:02","22","5","0",4,"0","33","14","1","7","1",55,"19",1,"11","1","25.3%",1.321,2.348,3.668,"1.219","1.829","3.048","2.125","5.951","8.077",0.365,0.649,"1.014",188,"14.4%",6,"23",6,9,"40.00%"
"46","46","Adam Fox","NYR",23,"D","78",11,63,74,26,18,"23:54","18:48","2:57","2:08","10","0","1",2,"1","29","33","1","18","0",39,"33",2,"20","1","44.6%",0.354,2.027,2.381,"0.409","1.186","1.595","0","8.583","8.583",0.141,0.808,"0.949",158,"7.0%",30,"128",0,0,"0.00%"
"47","47","Jesper Bratt","NJD",23,"F","76",26,47,73,16,0,"17:25","14:39","2:43","0:02","23","3","0",6,"0","32","15","0","6","1",55,"18",0,"12","1","24.7%",1.178,2.129,3.307,"1.239","1.723","2.962","0.87","4.352","5.223",0.342,0.618,"0.961",197,"13.2%",26,"30",0,3,"0.00%"
"48","48","Roope Hintz","DAL",25,"F","80",37,35,72,28,15,"18:02","14:20","2:32","1:09","25","9","3",7,"1","19","15","1","10","3",44,"24",4,"17","4","33.3%",1.539,1.455,2.994,"1.307","0.994","2.301","2.663","4.438","7.101",0.463,0.438,"0.9",213,"17.4%",82,"53",357,317,"52.97%"
"49","49","John Carlson","WSH",31,"D","78",17,54,71,20,13,"23:48","18:06","3:58","1:43","10","7","0",2,"0","33","18","3","8","1",43,"25",3,"10","1","35.2%",0.549,1.745,2.294,"0.425","1.402","1.827","1.352","3.477","4.829",0.218,0.692,"0.91",195,"8.7%",73,"112",0,0,"0.00%"
"50","50","Mark Scheifele","WPG",28,"F","67",29,41,70,23,-17,"21:08","17:35","3:28","0:04","22","7","0",3,"2","29","12","0","5","0",51,"19",0,"8","2","27.1%",1.229,1.737,2.966,"1.12","1.476","2.596","1.805","3.095","4.9",0.433,0.612,"1.045",159,"18.2%",36,"47",430,418,"50.71%"
"51","51","Tyler Toffoli","CGY",30,"F","82",34,39,73,28,16,"16:36","13:06","2:54","0:36","24","10","0",4,"2","24","15","0","4","1",48,"25",0,"8","3","34.2%",1.498,1.718,3.216,"1.34","1.34","2.68","2.523","3.784","6.306",0.415,0.476,"0.89",268,"12.7%",59,"14",7,5,"58.33%"
"52","52","Jesper Bratt","NJD",24,"F","82",32,41,73,6,14,"17:22","14:32","2:47","0:01","24","8","0",3,"1","27","14","0","8","1",51,"22",0,"11","2","30.1%",1.348,1.727,3.076,"1.207","1.358","2.566","2.098","3.671","5.769",0.39,0.5,"0.89",212,"15.1%",24,"23",0,0,"0.00%"
"53","53","Brandon Montour","FLA",28,"D","80",16,57,73,107,9,"24:07","19:01","4:14","0:51","13","3","0",5,"2","27","30","0","8","0",40,"33",0,"13","2","45.2%",0.497,1.772,2.269,"0.512","1.064","1.577","0.53","5.302","5.832",0.2,0.713,"0.913",242,"6.6%",92,"93",0,0,"0.00%"
"54","54","Rasmus Dahlin","BUF",22,"D","78",15,58,73,92,12,"25:47","20:55","3:34","1:17","9","6","0",2,"0","32","26","0","9","4",41,"32",0,"11","4","43.8%",0.447,1.73,2.177,"0.331","1.176","1.507","1.289","5.587","6.877",0.192,0.744,"0.936",204,"7.4%",105,"132",0,0,"0.00%"
"55","55","Miro Heiskanen","DAL",23,"D","79",11,62,73,32,12,"25:29","20:38","3:15","1:36","9","2","0",2,"1","29","32","1","7","0",38,"34",1,"9","1","46.6%",0.328,1.847,2.175,"0.331","1.067","1.399","0.467","7.469","7.936",0.139,0.785,"0.924",206,"5.3%",49,"96",0,0,"0.00%"
"56","56","Kevin Fiala","LAK",26,"F","69",23,49,72,52,2,"17:35","14:35","2:59","0:01","16","7","0",2,"2","32","17","0","8","0",48,"24",0,"10","2","33.3%",1.137,2.422,3.558,"0.954","1.908","2.862","2.036","4.944","6.98",0.333,0.71,"1.043",208,"11.1%",53,"18",8,8,"50.00%"
"57","57","Adam Fox","NYR",24,"D","82",12,60,72,34,28,"24:22","18:41","3:34","2:06","11","1","0",5,"1","29","28","3","8","1",40,"29",3,"13","2","40.3%",0.36,1.801,2.161,"0.43","1.135","1.565","0.205","5.738","5.943",0.146,0.732,"0.878",159,"7.6%",25,"125",0,0,"0.00%"
"58","58","Martin Necas","CAR",23,"F","82",28,43,71,32,5,"18:24","14:54","3:03","0:27","19","9","0",5,"4","25","17","1","10","2",44,"26",1,"15","6","36.6%",1.113,1.709,2.822,"0.933","1.227","2.16","2.158","4.076","6.233",0.341,0.524,"0.866",240,"11.7%",57,"21",188,229,"45.08%"
