"","Rk","Name","Team","Age","Pos","GP","G","A","P","PIM","+/-","TOI","ES","PP","SH","ESG","PPG","SHG","GWG","OTG","ESA","PPA","SHA","GWA","OTA","ESP","PPP","SHP","GWP","OTP","PPP%","G/60","A/60","P/60","ESG/60","ESA/60","ESP/60","PPG/60","PPA/60","PPP/60","G/GP","A/GP","P/GP","SHOTS","SH%","HITS","BS","FOW","FOL","FO%"
"97","97","Roman Josi","NSH",32,"D","67",18,41,59,36,5,"25:10","20:51","3:22","0:55","10","8","0",5,"1","25","16","0","7","1",35,"24",0,"12","2","40.7%",0.64,1.459,2.099,"0.429","1.073","1.502","2.122","4.245","6.367",0.269,0.612,"0.881",269,"6.7%",51,"146",0,0,"0.00%"
"98","98","Casey Mittelstadt","BUF",24,"F","82",15,44,59,22,-8,"15:43","13:17","2:05","0:20","10","4","1",2,"1","32","12","0","3","1",42,"16",1,"5","2","27.1%",0.698,2.047,2.745,"0.55","1.761","2.312","1.399","4.198","5.597",0.183,0.537,"0.72",135,"11.1%",30,"16",338,398,"45.92%"
"99","99","Patrice Bergeron","BOS",37,"F","78",27,31,58,22,35,"17:23","12:13","3:23","1:46","16","9","2",7,"0","21","10","0","7","3",37,"19",2,"14","3","32.8%",1.194,1.371,2.565,"1.006","1.321","2.327","2.044","2.272","4.316",0.346,0.397,"0.744",249,"10.8%",66,"54",1043,663,"61.14%"
"100","100","Nick Schmaltz","ARI",26,"F","63",22,36,58,20,4,"19:42","16:04","2:58","0:39","16","6","0",2,"0","29","6","1","4","1",45,"12",1,"6","1","20.7%",1.063,1.74,2.803,"0.948","1.719","2.667","1.921","1.921","3.842",0.349,0.571,"0.921",132,"16.7%",12,"28",40,60,"40.00%"
"101","101","Jonathan Marchessault","VGK",32,"F","76",28,29,57,21,2,"17:08","14:50","2:18","0:00","19","9","0",4,"1","22","7","0","2","2",41,"16",0,"6","3","28.1%",1.29,1.336,2.625,"1.011","1.171","2.182","3.083","2.398","5.482",0.368,0.382,"0.75",238,"11.8%",76,"17",21,35,"37.50%"
"102","102","Matthew Beniers","SEA",20,"F","80",24,33,57,2,14,"17:05","14:26","2:20","0:18","20","4","0",4,"1","26","6","1","9","1",46,"10",1,"13","2","17.5%",1.053,1.448,2.501,"1.038","1.35","2.388","1.283","1.924","3.207",0.3,0.413,"0.713",148,"16.2%",79,"48",409,560,"42.21%"
"103","103","Patrick Kane","NYR",34,"F","73",21,36,57,16,-22,"19:18","15:52","3:25","0:00","17","4","0",1,"0","18","18","0","2","0",35,"22",0,"3","0","38.6%",0.894,1.532,2.426,"0.88","0.932","1.812","0.961","4.326","5.288",0.288,0.493,"0.781",227,"9.3%",13,"19",1,1,"50.00%"
"104","104","Pavel Zacha","BOS",25,"F","82",21,36,57,16,26,"16:03","13:03","1:42","1:17","18","3","0",3,"0","30","5","1","12","1",48,"8",1,"15","1","14.0%",0.957,1.641,2.598,"1.009","1.681","2.69","1.283","2.138","3.421",0.256,0.439,"0.695",131,"16.0%",67,"21",134,162,"45.27%"
"105","105","Dawson Mercer","NJD",21,"F","82",27,29,56,14,22,"16:33","13:56","1:19","1:18","24","2","1",6,"1","20","8","1","1","0",44,"10",2,"7","1","17.9%",1.193,1.281,2.474,"1.26","1.05","2.309","1.11","4.44","5.55",0.329,0.354,"0.683",161,"16.8%",36,"63",70,95,"42.42%"
"106","106","Reilly Smith","VGK",31,"F","78",26,30,56,16,11,"16:58","13:39","2:01","1:18","16","6","4",4,"1","26","4","0","4","0",42,"10",4,"8","1","17.9%",1.179,1.36,2.538,"0.902","1.465","2.367","2.285","1.524","3.809",0.333,0.385,"0.718",182,"14.3%",69,"32",4,3,"57.14%"
"107","107","David Perron","DET",34,"F","82",24,32,56,52,-7,"16:55","13:30","3:24","0:00","18","6","0",3,"0","16","16","0","6","1",34,"22",0,"9","1","39.3%",1.038,1.384,2.422,"0.974","0.866","1.841","1.291","3.443","4.735",0.293,0.39,"0.683",195,"12.3%",107,"24",2,9,"18.18%"
"108","108","Nazem Kadri","CGY",32,"F","82",24,32,56,56,-19,"17:12","14:10","2:55","0:07","13","11","0",4,"0","24","8","0","7","0",37,"19",0,"11","0","33.9%",1.02,1.361,2.381,"0.671","1.239","1.91","2.757","2.005","4.763",0.293,0.39,"0.683",267,"9.0%",99,"31",586,648,"47.49%"
"109","109","Matt Duchene","NSH",31,"F","71",22,34,56,32,4,"18:19","15:20","2:57","0:00","17","5","0",3,"1","26","8","0","7","2",43,"13",0,"10","3","23.2%",1.015,1.568,2.583,"0.936","1.432","2.368","1.426","2.281","3.707",0.31,0.479,"0.789",168,"13.1%",27,"32",137,122,"52.90%"
"110","110","Max Domi","DAL",27,"F","80",20,36,56,82,-15,"17:46","14:46","2:58","0:01","12","8","0",4,"2","25","11","0","4","1",37,"19",0,"8","3","33.9%",0.844,1.519,2.363,"0.609","1.269","1.878","2.016","2.771","4.787",0.25,0.45,"0.7",179,"11.2%",22,"24",510,440,"53.68%"
"111","111","Mikael Backlund","CGY",33,"F","82",19,37,56,36,24,"18:09","14:05","1:55","2:08","13","5","1",2,"1","27","7","3","5","1",40,"12",4,"7","2","21.4%",0.765,1.491,2.256,"0.675","1.402","2.077","1.902","2.662","4.564",0.232,0.451,"0.683",260,"7.3%",97,"31",705,681,"50.87%"
"112","112","David Krejcí","BOS",36,"F","70",16,40,56,20,23,"17:11","14:24","2:39","0:07","12","4","0",2,"0","32","8","0","10","1",44,"12",0,"12","1","21.4%",0.798,1.994,2.792,"0.714","1.904","2.617","1.289","2.579","3.868",0.229,0.571,"0.8",112,"14.3%",41,"38",351,389,"47.43%"
"113","113","Andrei Svechnikov","CAR",22,"F","64",23,32,55,71,6,"18:02","14:52","3:08","0:01","18","5","0",4,"0","21","11","0","8","3",39,"16",0,"12","3","29.1%",1.195,1.662,2.857,"1.134","1.324","2.458","1.49","3.279","4.769",0.359,0.5,"0.859",205,"11.2%",140,"17",4,5,"44.44%"
"114","114","Brock Boeser","VAN",25,"F","74",18,37,55,24,-20,"17:14","14:21","2:51","0:00","12","6","0",3,"0","27","10","0","5","0",39,"16",0,"8","0","29.1%",0.846,1.74,2.586,"0.677","1.524","2.202","1.697","2.829","4.527",0.243,0.5,"0.743",178,"10.1%",49,"32",22,35,"38.60%"
"115","115","Blake Wheeler","WPG",36,"F","72",16,39,55,46,-3,"17:02","13:53","2:44","0:24","9","7","0",6,"1","31","8","0","5","1",40,"15",0,"11","2","27.3%",0.782,1.907,2.689,"0.54","1.86","2.4","2.128","2.432","4.56",0.222,0.542,"0.764",126,"12.7%",54,"35",65,61,"51.59%"
"116","116","Jonathan Huberdeau","CGY",29,"F","79",15,40,55,36,2,"16:51","13:51","2:51","0:08","11","4","0",1,"0","29","11","0","7","2",40,"15",0,"8","2","27.3%",0.676,1.801,2.477,"0.603","1.59","2.193","1.061","2.918","3.978",0.19,0.506,"0.696",126,"11.9%",65,"27",5,10,"33.33%"
"117","117","Tyson Barrie","NSH",31,"D","85",13,42,55,36,-7,"19:46","16:05","3:05","0:35","9","4","0",1,"0","14","27","1","1","1",23,"31",1,"2","1","56.4%",0.464,1.499,1.963,"0.395","0.614","1.009","0.912","6.155","7.067",0.153,0.494,"0.647",163,"8.0%",55,"90",0,0,"0.00%"
"118","118","Evgeny Kuznetsov","WSH",30,"F","81",12,43,55,56,-26,"18:03","14:00","2:48","1:14","7","5","0",2,"1","30","13","0","7","1",37,"18",0,"9","2","32.7%",0.492,1.764,2.256,"0.37","1.586","1.956","1.318","3.427","4.745",0.148,0.531,"0.679",172,"7.0%",43,"29",508,561,"47.52%"
"119","119","Chris Kreider","NYR",31,"F","79",36,18,54,26,21,"18:24","13:19","3:26","1:38","24","8","4",3,"1","9","9","0","4","0",33,"17",4,"7","1","31.5%",1.485,0.742,2.227,"1.368","0.513","1.882","1.765","1.985","3.75",0.456,0.228,"0.684",229,"15.7%",128,"24",38,46,"45.24%"
"120","120","Kevin Hayes","PHI",30,"F","81",18,36,54,23,-22,"17:33","14:47","2:37","0:08","12","6","0",1,"0","26","10","0","4","0",38,"16",0,"5","0","29.6%",0.759,1.518,2.277,"0.601","1.302","1.903","1.692","2.819","4.511",0.222,0.444,"0.667",209,"8.6%",52,"22",334,342,"49.41%"
"121","121","Phillip Danault","LAK",29,"F","82",18,36,54,63,-8,"18:19","14:30","2:03","1:44","15","3","0",1,"1","17","17","2","7","1",32,"20",2,"8","2","37.0%",0.719,1.437,2.156,"0.756","0.857","1.613","1.063","6.021","7.084",0.22,0.439,"0.659",152,"11.8%",81,"75",692,581,"54.36%"
"122","122","Alex Pietrangelo","VGK",32,"D","73",11,43,54,16,13,"23:58","19:17","2:26","2:14","10","1","0",3,"1","28","13","2","9","1",38,"14",2,"12","2","25.9%",0.377,1.474,1.851,"0.426","1.193","1.619","0.337","4.381","4.718",0.151,0.589,"0.74",171,"6.4%",65,"177",1,0,"100.00%"
"123","123","William Karlsson","VGK",29,"F","82",14,39,53,10,14,"17:28","14:15","1:41","1:31","10","2","2",2,"0","29","7","3","7","1",39,"9",5,"9","1","17.0%",0.586,1.634,2.22,"0.513","1.489","2.002","0.867","3.033","3.899",0.171,0.476,"0.646",160,"8.8%",50,"49",632,510,"55.34%"
"124","124","Hampus Lindholm","BOS",28,"D","80",10,43,53,56,49,"23:11","18:28","2:26","2:16","9","1","0",2,"1","27","16","0","7","1",36,"17",0,"9","2","32.1%",0.323,1.391,1.714,"0.365","1.096","1.461","0.308","4.931","5.239",0.125,0.538,"0.663",158,"6.3%",78,"100",0,0,"0.00%"
"125","125","Patrik Laine","CBJ",24,"F","55",22,30,52,16,-12,"19:07","15:45","3:21","0:00","14","8","0",1,"0","22","8","0","3","2",36,"16",0,"4","2","30.8%",1.255,1.712,2.967,"0.969","1.522","2.491","2.605","2.605","5.21",0.4,0.545,"0.945",184,"12.0%",27,"27",28,52,"35.00%"
"126","126","J.T. Compher","COL",27,"F","82",17,35,52,33,8,"20:32","15:38","2:46","2:07","12","5","0",3,"0","26","9","0","5","2",38,"14",0,"8","2","26.9%",0.606,1.247,1.852,"0.561","1.216","1.778","1.319","2.375","3.694",0.207,0.427,"0.634",154,"11.0%",37,"82",813,852,"48.83%"
"127","127","Drew Doughty","LAK",33,"D","81",9,43,52,34,12,"26:13","20:48","3:05","2:19","5","4","0",2,"0","20","23","0","7","0",25,"27",0,"9","0","51.9%",0.254,1.214,1.469,"0.178","0.712","0.89","0.958","5.508","6.466",0.111,0.531,"0.642",145,"6.2%",115,"104",0,0,"0.00%"
"128","128","Charlie McAvoy","BOS",25,"D","67",7,45,52,54,29,"22:18","17:32","2:42","2:03","5","2","0",2,"1","28","17","0","8","1",33,"19",0,"10","2","36.5%",0.281,1.807,2.088,"0.255","1.429","1.684","0.663","5.633","6.296",0.104,0.672,"0.776",105,"6.7%",84,"131",0,0,"0.00%"
"129","129","Artturi Lehkonen","COL",27,"F","64",21,30,51,28,8,"20:27","15:23","3:31","1:31","12","8","1",3,"1","18","12","0","6","0",30,"20",1,"9","1","39.2%",0.963,1.375,2.338,"0.731","1.096","1.827","2.124","3.186","5.31",0.328,0.469,"0.797",150,"14.0%",93,"43",4,19,"17.39%"
"130","130","Mathew Barzal","NYI",25,"F","58",14,37,51,22,5,"18:42","15:13","3:28","0:00","10","4","0",5,"1","22","15","0","5","1",32,"19",0,"10","2","37.3%",0.774,2.045,2.819,"0.679","1.495","2.174","1.191","4.465","5.656",0.241,0.638,"0.879",139,"10.1%",25,"34",104,188,"35.62%"
"131","131","Anders Lee","NYI",32,"F","82",28,22,50,50,-3,"17:13","14:07","3:04","0:00","22","6","0",4,"0","14","8","0","0","0",36,"14",0,"4","0","28.0%",1.19,0.935,2.124,"1.139","0.725","1.864","1.424","1.899","3.324",0.341,0.268,"0.61",214,"13.1%",125,"57",27,23,"54.00%"
"132","132","Jake DeBrusk","BOS",26,"F","64",27,23,50,16,26,"16:46","12:27","2:56","1:22","21","6","0",6,"0","14","8","1","3","0",35,"14",1,"9","0","28.0%",1.509,1.285,2.794,"1.58","1.053","2.633","1.91","2.547","4.458",0.422,0.359,"0.781",191,"14.1%",85,"22",4,11,"26.67%"
"133","133","Tyler Seguin","DAL",30,"F","76",21,29,50,24,3,"16:37","13:27","2:10","0:59","13","7","1",3,"1","24","4","1","5","0",37,"11",2,"8","1","22.0%",0.998,1.378,2.375,"0.763","1.408","2.17","2.551","1.457","4.008",0.276,0.382,"0.658",189,"11.1%",84,"23",476,394,"54.71%"
"134","134","Vladimir Tarasenko","NYR",31,"F","69",18,32,50,8,-14,"16:48","14:21","2:25","0:01","14","3","1",1,"1","21","11","0","4","2",35,"14",1,"5","3","28.0%",0.932,1.656,2.588,"0.848","1.272","2.12","1.074","3.938","5.012",0.261,0.464,"0.725",169,"10.7%",75,"36",0,2,"0.00%"
"135","135","Justin Faulk","STL",30,"D","82",11,39,50,34,-4,"23:22","19:09","2:20","1:52","9","2","0",3,"1","31","8","0","2","2",40,"10",0,"5","3","20.0%",0.344,1.221,1.565,"0.344","1.184","1.527","0.624","2.497","3.122",0.134,0.476,"0.61",196,"5.6%",112,"140",0,0,"0.00%"
"136","136","Devon Toews","COL",28,"D","80",7,43,50,26,39,"25:06","19:57","2:01","3:06","6","1","0",0,"0","37","6","0","8","5",43,"7",0,"8","5","14.0%",0.209,1.285,1.494,"0.225","1.39","1.616","0.369","2.217","2.586",0.088,0.538,"0.625",165,"4.2%",93,"138",0,0,"0.00%"
"137","137","Owen Tippett","PHI",23,"F","77",27,22,49,16,-17,"17:25","14:41","2:21","0:23","19","8","0",4,"1","18","4","0","6","1",37,"12",0,"10","2","24.5%",1.207,0.984,2.191,"1.008","0.955","1.963","2.65","1.325","3.975",0.351,0.286,"0.636",231,"11.7%",125,"69",19,11,"63.33%"
"138","138","Michael Bunting","TOR",27,"F","82",23,26,49,103,21,"15:47","13:58","1:49","0:00","16","7","0",4,"0","23","3","0","5","0",39,"10",0,"9","0","20.4%",1.065,1.204,2.27,"0.838","1.204","2.042","2.815","1.206","4.021",0.28,0.317,"0.598",174,"13.2%",85,"18",1,1,"50.00%"
"139","139","Noah Dobson","NYI",22,"D","78",13,36,49,20,4,"20:22","16:37","3:18","0:27","8","5","0",2,"1","22","14","0","5","1",30,"19",0,"7","2","38.8%",0.491,1.359,1.849,"0.37","1.018","1.389","1.165","3.262","4.427",0.167,0.462,"0.628",206,"6.3%",60,"104",0,0,"0.00%"
"140","140","Matias Maccelli","ARI",22,"F","64",11,38,49,18,0,"15:40","13:25","1:56","0:18","10","1","0",1,"0","26","12","0","7","3",36,"13",0,"8","3","26.5%",0.658,2.272,2.929,"0.698","1.815","2.513","0.482","5.784","6.266",0.172,0.594,"0.766",61,"18.0%",24,"20",0,7,"0.00%"
"141","141","Rasmus Andersson","CGY",26,"D","79",11,38,49,26,5,"24:05","18:52","2:56","2:16","9","1","1",4,"1","17","20","1","7","2",26,"21",2,"11","3","42.9%",0.347,1.198,1.545,"0.362","0.684","1.046","0.259","5.178","5.437",0.139,0.481,"0.62",159,"6.9%",50,"136",0,0,"0.00%"
"142","142","Victor Hedman","TBL",32,"D","76",9,40,49,42,10,"23:43","19:18","2:35","1:48","7","1","1",1,"0","25","13","2","3","0",32,"14",3,"4","0","28.6%",0.3,1.331,1.631,"0.286","1.022","1.308","0.304","3.955","4.26",0.118,0.526,"0.645",185,"4.9%",95,"136",0,0,"0.00%"
"143","143","Jason Zucker","PIT",30,"F","78",27,21,48,47,-4,"15:39","14:02","1:36","0:00","25","2","0",5,"1","14","7","0","2","0",39,"9",0,"7","1","18.8%",1.327,1.032,2.358,"1.369","0.767","2.136","0.956","3.346","4.302",0.346,0.269,"0.615",197,"13.7%",197,"29",4,11,"26.67%"
"144","144","Tomas Tatar","NJD",32,"F","82",20,28,48,30,41,"15:07","13:28","1:38","0:00","19","1","0",1,"0","25","3","0","4","0",44,"4",0,"5","0","8.3%",0.968,1.355,2.323,"1.032","1.357","2.389","0.446","1.339","1.786",0.244,0.341,"0.585",153,"13.1%",65,"30",17,26,"39.53%"
"145","145","Yanni Gourde","SEA",31,"F","81",14,34,48,76,23,"17:08","14:29","0:34","2:03","10","3","1",2,"1","33","1","0","2","0",43,"4",1,"4","1","8.3%",0.605,1.47,2.075,"0.511","1.686","2.197","3.864","1.288","5.152",0.173,0.42,"0.593",141,"9.9%",118,"54",483,489,"49.69%"
"146","146","Cam Fowler","ANA",31,"D","82",10,38,48,14,-23,"24:10","19:39","2:32","1:58","6","4","0",1,"0","28","10","0","3","1",34,"14",0,"4","1","29.2%",0.303,1.15,1.453,"0.223","1.042","1.265","1.153","2.882","4.034",0.122,0.463,"0.585",130,"7.7%",18,"104",0,0,"0.00%"
"147","147","Valeri Nichushkin","COL",27,"F","53",17,30,47,2,15,"20:16","14:55","3:33","1:46","6","10","1",2,"0","22","6","2","5","1",28,"16",3,"7","1","34.0%",0.949,1.675,2.625,"0.455","1.668","2.123","3.176","1.905","5.081",0.321,0.566,"0.887",158,"10.8%",54,"37",0,4,"0.00%"
"148","148","Alexander Barabanov","SJS",28,"F","68",15,32,47,20,-30,"18:03","15:16","2:45","0:01","12","3","0",2,"0","22","10","0","5","0",34,"13",0,"7","0","27.7%",0.733,1.564,2.297,"0.693","1.271","1.964","0.959","3.197","4.156",0.221,0.471,"0.691",120,"12.5%",40,"37",1,2,"33.33%"
"149","149","Daniel Sprong","SEA",25,"F","66",21,25,46,14,13,"11:25","9:29","1:55","0:00","15","6","0",3,"0","17","8","0","3","0",32,"14",0,"6","0","30.4%",1.672,1.99,3.662,"1.437","1.629","3.066","2.828","3.771","6.599",0.318,0.379,"0.697",147,"14.3%",33,"17",2,3,"40.00%"
"150","150","Bryan Rust","PIT",30,"F","81",20,26,46,31,-4,"17:53","14:08","2:10","1:35","18","2","0",2,"1","16","9","1","4","0",34,"11",1,"6","1","23.9%",0.828,1.076,1.904,"0.943","0.839","1.782","0.683","3.073","3.756",0.247,0.321,"0.568",211,"9.5%",98,"50",5,5,"50.00%"
"151","151","Marcus Johansson","MIN",32,"F","80",19,27,46,8,3,"16:29","12:57","2:47","0:44","12","5","2",7,"1","14","13","0","4","2",26,"18",2,"11","3","39.1%",0.864,1.228,2.092,"0.694","0.81","1.504","1.347","3.502","4.85",0.238,0.338,"0.575",137,"13.9%",26,"23",23,29,"44.23%"
"152","152","Morgan Frost","PHI",23,"F","81",19,27,46,24,-12,"16:20","13:58","2:09","0:12","18","1","0",3,"0","23","4","0","2","0",41,"5",0,"5","0","10.9%",0.861,1.224,2.085,"0.954","1.219","2.173","0.342","1.368","1.71",0.235,0.333,"0.568",155,"12.3%",85,"53",436,515,"45.85%"
"153","153","Conor Garland","VAN",26,"F","81",17,29,46,31,-5,"15:06","13:32","1:32","0:01","15","2","0",2,"1","19","10","0","3","0",34,"12",0,"5","1","26.1%",0.833,1.421,2.255,"0.82","1.039","1.859","0.957","4.783","5.739",0.21,0.358,"0.568",167,"10.2%",47,"20",3,11,"21.43%"
"154","154","Boone Jenner","CBJ",29,"F","68",26,19,45,51,-32,"20:12","16:25","3:04","0:42","19","7","0",3,"1","15","4","0","0","0",34,"11",0,"3","1","24.4%",1.135,0.83,1.965,"1.021","0.806","1.827","2.005","1.146","3.15",0.382,0.279,"0.662",214,"12.2%",129,"70",758,628,"54.69%"
"155","155","Lawson Crouse","ARI",25,"F","77",24,21,45,35,-3,"17:45","13:46","1:43","2:15","18","6","0",3,"0","19","2","0","3","0",37,"8",0,"6","0","17.8%",1.053,0.922,1.975,"1.019","1.075","2.094","2.704","0.901","3.605",0.312,0.273,"0.584",151,"15.9%",194,"58",33,49,"40.24%"
"156","156","Filip Chytil","NYR",23,"F","74",22,23,45,30,15,"14:41","13:16","1:22","0:02","19","3","0",4,"1","21","2","0","3","1",40,"5",0,"7","2","11.1%",1.215,1.27,2.485,"1.161","1.283","2.444","1.77","1.18","2.951",0.297,0.311,"0.608",177,"12.4%",36,"38",251,380,"39.78%"
"157","157","Oliver Bjorkstrand","SEA",27,"F","81",20,25,45,16,-1,"15:37","13:16","2:20","0:00","15","5","0",1,"1","20","5","0","1","1",35,"10",0,"2","2","22.2%",0.948,1.185,2.134,"0.837","1.116","1.953","1.582","1.582","3.163",0.247,0.309,"0.556",198,"10.1%",63,"38",18,41,"30.51%"
"158","158","Dominik Kubalik","DET",27,"F","81",20,25,45,24,-15,"14:54","12:26","2:26","0:02","13","7","0",3,"1","15","10","0","5","0",28,"17",0,"8","1","37.8%",0.993,1.242,2.235,"0.774","0.893","1.667","2.131","3.044","5.175",0.247,0.309,"0.556",174,"11.5%",89,"26",17,18,"48.57%"
"159","159","Dillon Dube","CGY",24,"F","82",18,27,45,47,-6,"15:09","12:33","1:21","1:14","15","1","2",3,"1","24","3","0","4","0",39,"4",2,"7","1","8.9%",0.869,1.303,2.172,"0.874","1.398","2.271","0.539","1.617","2.155",0.22,0.329,"0.549",151,"11.9%",136,"21",45,55,"45.00%"
"160","160","Lucas Raymond","DET",20,"F","74",17,28,45,24,-17,"17:22","14:22","2:58","0:01","12","5","0",4,"0","14","14","0","0","0",26,"19",0,"4","0","42.2%",0.793,1.307,2.1,"0.677","0.79","1.467","1.365","3.823","5.188",0.23,0.378,"0.608",134,"12.7%",43,"20",5,12,"29.41%"
"161","161","Charlie Coyle","BOS",30,"F","82",16,29,45,30,29,"16:59","13:44","0:40","2:34","15","0","1",0,"0","25","0","4","3","1",40,"0",5,"3","1","0.0%",0.689,1.249,1.938,"0.799","1.331","2.13","0","0","0",0.195,0.354,"0.549",139,"11.5%",68,"63",536,483,"52.60%"
"162","162","Ivan Barbashev","VGK",27,"F","82",16,29,45,42,1,"16:45","14:03","1:55","0:46","14","2","0",2,"0","25","3","1","2","0",39,"5",1,"4","0","11.1%",0.699,1.266,1.965,"0.729","1.301","2.03","0.762","1.143","1.905",0.195,0.354,"0.549",125,"12.8%",182,"45",55,89,"38.19%"
"163","163","Jack Roslovic","CBJ",25,"F","77",11,33,44,10,-14,"16:26","12:37","2:10","1:38","7","2","2",2,"1","25","7","1","6","0",32,"9",3,"8","1","20.5%",0.521,1.564,2.085,"0.432","1.543","1.974","0.714","2.501","3.215",0.143,0.429,"0.571",123,"8.9%",42,"53",400,489,"44.99%"
"164","164","Barrett Hayton","ARI",22,"F","82",19,24,43,42,-5,"17:29","13:46","2:18","1:24","15","4","0",4,"2","17","6","1","3","1",32,"10",1,"7","3","23.3%",0.795,1.004,1.798,"0.797","0.903","1.7","1.268","1.902","3.17",0.232,0.293,"0.524",178,"10.7%",83,"33",628,602,"51.06%"
"165","165","Scott Laughton","PHI",28,"F","78",18,25,43,50,-9,"18:17","14:21","1:44","2:11","10","5","3",0,"0","17","4","4","5","0",27,"9",7,"5","0","20.9%",0.757,1.052,1.809,"0.536","0.911","1.447","2.204","1.763","3.968",0.231,0.321,"0.551",170,"10.6%",156,"57",509,568,"47.26%"
"166","166","Jesperi Kotkaniemi","CAR",22,"F","82",18,25,43,50,10,"14:44","12:45","1:49","0:08","14","3","1",2,"0","17","8","0","5","0",31,"11",1,"7","0","25.6%",0.894,1.241,2.135,"0.803","0.975","1.777","1.198","3.195","4.393",0.22,0.305,"0.524",129,"14.0%",105,"21",360,340,"51.43%"
"167","167","Thomas Novak","NSH",25,"F","51",17,26,43,8,5,"14:39","12:08","2:30","0:00","12","5","0",3,"1","19","7","0","6","1",31,"12",0,"9","2","27.9%",1.365,2.087,3.452,"1.163","1.841","3.004","2.351","3.292","5.643",0.333,0.51,"0.843",93,"18.3%",9,"23",179,223,"44.53%"
"168","168","Mason McTavish","ANA",19,"F","80",17,26,43,44,-19,"15:22","12:48","2:31","0:02","10","7","0",1,"0","19","7","0","3","1",29,"14",0,"4","1","32.6%",0.829,1.268,2.098,"0.585","1.112","1.698","2.079","2.079","4.157",0.213,0.325,"0.538",161,"10.6%",55,"37",307,418,"42.34%"
"169","169","Andrew Mangiapane","CGY",26,"F","82",17,26,43,40,12,"16:49","13:39","2:04","1:05","15","2","0",1,"0","22","2","2","3","1",37,"4",2,"4","1","9.3%",0.739,1.131,1.87,"0.804","1.179","1.983","0.703","0.703","1.406",0.207,0.317,"0.524",182,"9.3%",86,"26",5,9,"35.71%"
"170","170","Eetu Luostarinen","FLA",24,"F","82",17,26,43,28,19,"15:59","12:45","0:53","2:20","15","2","0",1,"0","22","3","1","6","1",37,"5",1,"7","1","11.6%",0.778,1.19,1.968,"0.86","1.262","2.122","1.651","2.476","4.127",0.207,0.317,"0.524",132,"12.9%",64,"51",175,243,"41.87%"
"171","171","Darnell Nurse","EDM",27,"D","82",12,31,43,64,26,"23:29","19:40","0:55","2:54","10","0","2",4,"1","29","1","1","6","2",39,"1",3,"10","3","2.3%",0.374,0.965,1.339,"0.372","1.079","1.451","0","0.79","0.79",0.146,0.378,"0.524",203,"5.9%",146,"164",0,0,"0.00%"
"172","172","K'Andre Miller","NYR",22,"D","79",9,34,43,47,12,"21:57","19:31","0:31","1:53","9","0","0",2,"0","29","3","2","7","1",38,"3",2,"9","1","7.0%",0.311,1.176,1.488,"0.35","1.128","1.478","0","4.287","4.287",0.114,0.43,"0.544",113,"8.0%",162,"105",0,0,"0.00%"
"173","173","Filip Forsberg","NSH",28,"F","50",19,23,42,20,-4,"17:28","14:21","3:05","0:01","15","4","0",2,"0","14","9","0","2","0",29,"13",0,"4","0","31.0%",1.305,1.58,2.885,"1.254","1.171","2.425","1.55","3.487","5.037",0.38,0.46,"0.84",157,"12.1%",86,"20",0,1,"0.00%"
"174","174","Anthony DeAngelo","PHI",27,"D","70",11,31,42,73,-27,"22:03","17:51","3:08","1:03","7","4","0",1,"1","16","15","0","0","0",23,"19",0,"1","1","45.2%",0.427,1.205,1.632,"0.336","0.768","1.104","1.089","4.085","5.175",0.157,0.443,"0.6",174,"6.3%",52,"79",0,0,"0.00%"
"175","175","Andrew Copp","DET",28,"F","82",9,33,42,25,2,"18:09","13:58","1:42","2:27","7","1","1",2,"1","29","4","0","5","1",36,"5",1,"7","2","11.9%",0.363,1.33,1.693,"0.366","1.518","1.885","0.426","1.706","2.132",0.11,0.402,"0.512",120,"7.5%",32,"45",647,652,"49.81%"
"176","176","Erik Gustafsson","TOR",30,"D","70",7,35,42,23,9,"19:46","17:21","2:15","0:09","7","0","0",2,"0","21","14","0","7","3",28,"14",0,"9","3","33.3%",0.303,1.517,1.821,"0.346","1.037","1.383","0","5.33","5.33",0.1,0.5,"0.6",122,"5.7%",52,"63",0,0,"0.00%"
"177","177","Moritz Seider","DET",21,"D","82",5,37,42,40,-11,"23:08","17:27","3:06","2:35","3","1","1",1,"0","22","14","1","3","2",25,"15",2,"4","2","35.7%",0.158,1.17,1.328,"0.126","0.922","1.048","0.236","3.3","3.536",0.061,0.451,"0.512",140,"3.6%",207,"190",0,0,"0.00%"
"178","178","Nino Niederreiter","WPG",30,"F","78",24,17,41,22,-13,"16:17","13:46","2:30","0:00","20","4","0",2,"0","14","3","0","2","1",34,"7",0,"4","1","17.1%",1.134,0.803,1.936,"1.117","0.782","1.899","1.228","0.921","2.149",0.308,0.218,"0.526",181,"13.3%",165,"33",8,5,"61.54%"
"179","179","Wyatt Johnston","DAL",19,"F","82",24,17,41,20,6,"15:28","13:32","1:39","0:16","21","3","0",3,"0","13","4","0","4","1",34,"7",0,"7","1","17.1%",1.134,0.803,1.938,"1.134","0.702","1.837","1.324","1.766","3.09",0.293,0.207,"0.5",160,"15.0%",22,"31",145,190,"43.28%"
